tpep_pickup_datetime,region,counts
2016-04-21 06:00:00,1231,357
2016-04-21 07:00:00,1231,592
2016-04-21 08:00:00,1231,870
2016-04-21 09:00:00,1231,931
2016-04-21 10:00:00,1231,849
2016-04-21 11:00:00,1231,925
2016-04-21 12:00:00,1231,935
2016-04-21 13:00:00,1231,988
2016-04-21 14:00:00,1231,1001
2016-04-21 15:00:00,1231,850
2016-04-21 16:00:00,1231,520
2016-04-21 17:00:00,1231,548
2016-04-21 18:00:00,1231,692
2016-04-21 19:00:00,1231,779
2016-04-21 20:00:00,1231,1132
2016-04-21 21:00:00,1231,1023
2016-04-21 22:00:00,1231,779
2016-04-21 23:00:00,1231,889
2016-04-22 00:00:00,1231,698
2016-04-22 01:00:00,1231,440
2016-04-22 02:00:00,1231,274
2016-04-22 03:00:00,1231,142
2016-04-22 04:00:00,1231,143
2016-04-22 05:00:00,1231,148
2016-04-22 06:00:00,1231,334
2016-04-22 07:00:00,1231,477
2016-04-22 08:00:00,1231,718
2016-04-22 09:00:00,1231,772
2016-04-22 10:00:00,1231,785
2016-04-22 11:00:00,1231,909
2016-04-22 12:00:00,1231,894
2016-04-22 13:00:00,1231,819
2016-04-22 14:00:00,1231,895
2016-04-22 15:00:00,1231,720
2016-04-22 16:00:00,1231,601
2016-04-22 17:00:00,1231,554
2016-04-22 18:00:00,1231,721
2016-04-22 19:00:00,1231,1020
2016-04-22 20:00:00,1231,1099
2016-04-22 21:00:00,1231,964
2016-04-22 22:00:00,1231,1010
2016-04-22 23:00:00,1231,983
2016-04-23 00:00:00,1231,941
2016-04-23 01:00:00,1231,632
2016-04-23 02:00:00,1231,453
2016-04-23 03:00:00,1231,342
2016-04-23 04:00:00,1231,207
2016-04-23 05:00:00,1231,126
2016-04-23 06:00:00,1231,181
2016-04-23 07:00:00,1231,208
2016-04-23 08:00:00,1231,383
2016-04-23 09:00:00,1231,437
2016-04-23 10:00:00,1231,589
2016-04-23 11:00:00,1231,685
2016-04-23 12:00:00,1231,641
2016-04-23 13:00:00,1231,691
2016-04-23 14:00:00,1231,697
2016-04-23 15:00:00,1231,687
2016-04-23 16:00:00,1231,651
2016-04-23 17:00:00,1231,804
2016-04-23 18:00:00,1231,953
2016-04-23 19:00:00,1231,924
2016-04-23 20:00:00,1231,838
2016-04-23 21:00:00,1231,838
2016-04-23 22:00:00,1231,937
2016-04-23 23:00:00,1231,982
2016-04-24 00:00:00,1231,824
2016-04-24 01:00:00,1231,690
2016-04-24 02:00:00,1231,498
2016-04-24 03:00:00,1231,338
2016-04-24 04:00:00,1231,291
2016-04-24 05:00:00,1231,145
2016-04-24 06:00:00,1231,145
2016-04-24 07:00:00,1231,206
2016-04-24 08:00:00,1231,291
2016-04-24 09:00:00,1231,377
2016-04-24 10:00:00,1231,518
2016-04-24 11:00:00,1231,700
2016-04-24 12:00:00,1231,698
2016-04-24 13:00:00,1231,743
2016-04-24 14:00:00,1231,735
2016-04-24 15:00:00,1231,699
2016-04-24 16:00:00,1231,755
2016-04-24 17:00:00,1231,858
2016-04-24 18:00:00,1231,854
2016-04-24 19:00:00,1231,829
2016-04-24 20:00:00,1231,726
2016-04-24 21:00:00,1231,669
2016-04-24 22:00:00,1231,537
2016-04-24 23:00:00,1231,506
2016-04-25 00:00:00,1231,290
2016-04-25 01:00:00,1231,186
2016-04-25 02:00:00,1231,81
2016-04-25 03:00:00,1231,56
2016-04-25 04:00:00,1231,67
2016-04-25 05:00:00,1231,127
2016-04-25 06:00:00,1231,311
2016-04-25 07:00:00,1231,465
2016-04-25 08:00:00,1231,792
2016-04-25 09:00:00,1231,761
2016-04-25 10:00:00,1231,728
2016-04-25 11:00:00,1231,833
2016-04-25 12:00:00,1231,912
2016-04-25 13:00:00,1231,903
2016-04-25 14:00:00,1231,984
2016-04-25 15:00:00,1231,873
2016-04-25 16:00:00,1231,831
2016-04-25 17:00:00,1231,983
2016-04-25 18:00:00,1231,1205
2016-04-25 19:00:00,1231,1265
2016-04-25 20:00:00,1231,1165
2016-04-25 21:00:00,1231,1065
2016-04-25 22:00:00,1231,795
2016-04-25 23:00:00,1231,538
2016-04-26 00:00:00,1231,336
2016-04-26 01:00:00,1231,205
2016-04-26 02:00:00,1231,118
2016-04-26 03:00:00,1231,68
2016-04-26 04:00:00,1231,85
2016-04-26 05:00:00,1231,116
2016-04-26 06:00:00,1231,329
2016-04-26 07:00:00,1231,535
2016-04-26 08:00:00,1231,778
2016-04-26 09:00:00,1231,895
2016-04-26 10:00:00,1231,896
2016-04-26 11:00:00,1231,911
2016-04-26 12:00:00,1231,977
2016-04-26 13:00:00,1231,1032
2016-04-26 14:00:00,1231,1067
2016-04-26 15:00:00,1231,1057
2016-04-26 16:00:00,1231,784
2016-04-26 17:00:00,1231,814
2016-04-26 18:00:00,1231,1101
2016-04-26 19:00:00,1231,1388
2016-04-26 20:00:00,1231,1321
2016-04-26 21:00:00,1231,1033
2016-04-26 22:00:00,1231,979
2016-04-26 23:00:00,1231,779
2016-04-27 00:00:00,1231,437
2016-04-27 01:00:00,1231,256
2016-04-27 02:00:00,1231,128
2016-04-27 03:00:00,1231,84
2016-04-27 04:00:00,1231,77
2016-04-27 05:00:00,1231,137
2016-04-27 06:00:00,1231,339
2016-04-27 07:00:00,1231,607
2016-04-27 08:00:00,1231,800
2016-04-27 09:00:00,1231,902
2016-04-27 10:00:00,1231,921
2016-04-27 11:00:00,1231,981
2016-04-27 12:00:00,1231,1053
2016-04-27 13:00:00,1231,1051
2016-04-27 14:00:00,1231,1062
2016-04-27 15:00:00,1231,912
2016-04-27 16:00:00,1231,725
2016-04-27 17:00:00,1231,744
2016-04-27 18:00:00,1231,1094
2016-04-27 19:00:00,1231,1326
2016-04-27 20:00:00,1231,1191
2016-04-27 21:00:00,1231,915
2016-04-27 22:00:00,1231,694
2016-04-27 23:00:00,1231,807
2016-04-28 00:00:00,1231,547
2016-04-28 01:00:00,1231,274
2016-04-28 02:00:00,1231,162
2016-04-28 03:00:00,1231,109
2016-04-28 04:00:00,1231,124
2016-04-28 05:00:00,1231,137
2016-04-28 06:00:00,1231,345
2016-04-28 07:00:00,1231,584
2016-04-28 08:00:00,1231,908
2016-04-28 09:00:00,1231,931
2016-04-28 10:00:00,1231,927
2016-04-28 11:00:00,1231,967
2016-04-28 12:00:00,1231,1062
2016-04-28 13:00:00,1231,1054
2016-04-28 14:00:00,1231,1055
2016-04-28 15:00:00,1231,888
2016-04-28 16:00:00,1231,688
2016-04-28 17:00:00,1231,735
2016-04-28 18:00:00,1231,1062
2016-04-28 19:00:00,1231,1270
2016-04-28 20:00:00,1231,1395
2016-04-28 21:00:00,1231,1262
2016-04-28 22:00:00,1231,1105
2016-04-28 23:00:00,1231,908
2016-04-29 00:00:00,1231,708
2016-04-29 01:00:00,1231,385
2016-04-29 02:00:00,1231,237
2016-04-29 03:00:00,1231,163
2016-04-29 04:00:00,1231,109
2016-04-29 05:00:00,1231,159
2016-04-29 06:00:00,1231,335
2016-04-29 07:00:00,1231,468
2016-04-29 08:00:00,1231,708
2016-04-29 09:00:00,1231,831
2016-04-29 10:00:00,1231,835
2016-04-29 11:00:00,1231,980
2016-04-29 12:00:00,1231,959
2016-04-29 13:00:00,1231,911
2016-04-29 14:00:00,1231,956
2016-04-29 15:00:00,1231,801
2016-04-29 16:00:00,1231,680
2016-04-29 17:00:00,1231,764
2016-04-29 18:00:00,1231,963
2016-04-29 19:00:00,1231,1070
2016-04-29 20:00:00,1231,1163
2016-04-29 21:00:00,1231,1159
2016-04-29 22:00:00,1231,1086
2016-04-29 23:00:00,1231,914
2016-04-30 00:00:00,1231,786
2016-04-30 01:00:00,1231,594
2016-04-30 02:00:00,1231,407
2016-04-30 03:00:00,1231,356
2016-04-30 04:00:00,1231,232
2016-04-30 05:00:00,1231,133
2016-04-30 06:00:00,1231,163
2016-04-30 07:00:00,1231,196
2016-04-30 08:00:00,1231,309
2016-04-30 09:00:00,1231,439
2016-04-30 10:00:00,1231,647
2016-04-30 11:00:00,1231,732
2016-04-30 12:00:00,1231,834
2016-04-30 13:00:00,1231,860
2016-04-30 14:00:00,1231,819
2016-04-30 15:00:00,1231,847
2016-04-30 16:00:00,1231,776
2016-04-30 17:00:00,1231,785
2016-04-30 18:00:00,1231,962
2016-04-30 19:00:00,1231,1069
2016-04-30 20:00:00,1231,926
2016-04-30 21:00:00,1231,952
2016-04-30 22:00:00,1231,1033
2016-04-30 23:00:00,1231,934
2016-05-01 00:00:00,1231,881
2016-05-01 01:00:00,1231,713
2016-05-01 02:00:00,1231,533
2016-05-01 03:00:00,1231,418
2016-05-01 04:00:00,1231,353
2016-05-01 05:00:00,1231,151
2016-05-01 06:00:00,1231,147
2016-05-01 07:00:00,1231,158
2016-05-01 08:00:00,1231,256
2016-05-01 09:00:00,1231,340
2016-05-01 10:00:00,1231,563
2016-05-01 11:00:00,1231,756
2016-05-01 12:00:00,1231,819
2016-05-01 13:00:00,1231,756
2016-05-01 14:00:00,1231,766
2016-05-01 15:00:00,1231,801
2016-05-01 16:00:00,1231,779
2016-05-01 17:00:00,1231,822
2016-05-01 18:00:00,1231,926
2016-05-01 19:00:00,1231,820
2016-05-01 20:00:00,1231,698
2016-05-01 21:00:00,1231,565
2016-05-01 22:00:00,1231,394
2016-05-01 23:00:00,1231,436
2016-05-02 00:00:00,1231,266
2016-05-02 01:00:00,1231,129
2016-05-02 02:00:00,1231,86
2016-05-02 03:00:00,1231,50
2016-05-02 04:00:00,1231,92
2016-05-02 05:00:00,1231,126
2016-05-02 06:00:00,1231,302
2016-05-02 07:00:00,1231,528
2016-05-02 08:00:00,1231,822
2016-05-02 09:00:00,1231,944
2016-05-02 10:00:00,1231,793
2016-05-02 11:00:00,1231,834
2016-05-02 12:00:00,1231,894
2016-05-02 13:00:00,1231,934
2016-05-02 14:00:00,1231,972
2016-05-02 15:00:00,1231,945
2016-05-02 16:00:00,1231,877
2016-05-02 17:00:00,1231,1040
2016-05-02 18:00:00,1231,1275
2016-05-02 19:00:00,1231,1297
2016-05-02 20:00:00,1231,1254
2016-05-02 21:00:00,1231,1090
2016-05-02 22:00:00,1231,934
2016-05-02 23:00:00,1231,794
2016-05-03 00:00:00,1231,556
2016-05-03 01:00:00,1231,259
2016-05-03 02:00:00,1231,128
2016-05-03 03:00:00,1231,66
2016-05-03 04:00:00,1231,104
2016-05-03 05:00:00,1231,162
2016-05-03 06:00:00,1231,394
2016-05-03 07:00:00,1231,630
2016-05-03 08:00:00,1231,1017
2016-05-03 09:00:00,1231,1019
2016-05-03 10:00:00,1231,1012
2016-05-03 11:00:00,1231,1008
2016-05-03 12:00:00,1231,970
2016-05-03 13:00:00,1231,1050
2016-05-03 14:00:00,1231,1039
2016-05-03 15:00:00,1231,982
2016-05-03 16:00:00,1231,798
2016-05-03 17:00:00,1231,917
2016-05-03 18:00:00,1231,1042
2016-05-03 19:00:00,1231,1241
2016-05-03 20:00:00,1231,1316
2016-05-03 21:00:00,1231,1153
2016-05-03 22:00:00,1231,940
2016-05-03 23:00:00,1231,755
2016-05-04 00:00:00,1231,415
2016-05-04 01:00:00,1231,245
2016-05-04 02:00:00,1231,116
2016-05-04 03:00:00,1231,110
2016-05-04 04:00:00,1231,97
2016-05-04 05:00:00,1231,142
2016-05-04 06:00:00,1231,350
2016-05-04 07:00:00,1231,638
2016-05-04 08:00:00,1231,968
2016-05-04 09:00:00,1231,1074
2016-05-04 10:00:00,1231,1002
2016-05-04 11:00:00,1231,1055
2016-05-04 12:00:00,1231,1134
2016-05-04 13:00:00,1231,1182
2016-05-04 14:00:00,1231,1108
2016-05-04 15:00:00,1231,825
2016-05-04 16:00:00,1231,633
2016-05-04 17:00:00,1231,685
2016-05-04 18:00:00,1231,860
2016-05-04 19:00:00,1231,1050
2016-05-04 20:00:00,1231,1318
2016-05-04 21:00:00,1231,1139
2016-05-04 22:00:00,1231,1003
2016-05-04 23:00:00,1231,862
2016-05-05 00:00:00,1231,536
2016-05-05 01:00:00,1231,278
2016-05-05 02:00:00,1231,180
2016-05-05 03:00:00,1231,110
2016-05-05 04:00:00,1231,95
2016-05-05 05:00:00,1231,175
2016-05-05 06:00:00,1231,370
2016-05-05 07:00:00,1231,609
2016-05-05 08:00:00,1231,931
2016-05-05 09:00:00,1231,1070
2016-05-05 10:00:00,1231,1025
2016-05-05 11:00:00,1231,1058
2016-05-05 12:00:00,1231,1072
2016-05-05 13:00:00,1231,1079
2016-05-05 14:00:00,1231,1067
2016-05-05 15:00:00,1231,866
2016-05-05 16:00:00,1231,676
2016-05-05 17:00:00,1231,639
2016-05-05 18:00:00,1231,846
2016-05-05 19:00:00,1231,951
2016-05-05 20:00:00,1231,1018
2016-05-05 21:00:00,1231,848
2016-05-05 22:00:00,1231,641
2016-05-05 23:00:00,1231,776
2016-05-06 00:00:00,1231,661
2016-05-06 01:00:00,1231,442
2016-05-06 02:00:00,1231,261
2016-05-06 03:00:00,1231,180
2016-05-06 04:00:00,1231,141
2016-05-06 05:00:00,1231,199
2016-05-06 06:00:00,1231,438
2016-05-06 07:00:00,1231,678
2016-05-06 08:00:00,1231,973
2016-05-06 09:00:00,1231,951
2016-05-06 10:00:00,1231,907
2016-05-06 11:00:00,1231,791
2016-05-06 12:00:00,1231,745
2016-05-06 13:00:00,1231,719
2016-05-06 14:00:00,1231,797
2016-05-06 15:00:00,1231,708
2016-05-06 16:00:00,1231,526
2016-05-06 17:00:00,1231,646
2016-05-06 18:00:00,1231,841
2016-05-06 19:00:00,1231,897
2016-05-06 20:00:00,1231,1103
2016-05-06 21:00:00,1231,1047
2016-05-06 22:00:00,1231,985
2016-05-06 23:00:00,1231,836
2016-05-07 00:00:00,1231,736
2016-05-07 01:00:00,1231,556
2016-05-07 02:00:00,1231,386
2016-05-07 03:00:00,1231,325
2016-05-07 04:00:00,1231,267
2016-05-07 05:00:00,1231,122
2016-05-07 06:00:00,1231,160
2016-05-07 07:00:00,1231,204
2016-05-07 08:00:00,1231,301
2016-05-07 09:00:00,1231,523
2016-05-07 10:00:00,1231,667
2016-05-07 11:00:00,1231,816
2016-05-07 12:00:00,1231,873
2016-05-07 13:00:00,1231,845
2016-05-07 14:00:00,1231,798
2016-05-07 15:00:00,1231,864
2016-05-07 16:00:00,1231,765
2016-05-07 17:00:00,1231,836
2016-05-07 18:00:00,1231,893
2016-05-07 19:00:00,1231,1019
2016-05-07 20:00:00,1231,866
2016-05-07 21:00:00,1231,797
2016-05-07 22:00:00,1231,979
2016-05-07 23:00:00,1231,920
2016-05-08 00:00:00,1231,825
2016-05-08 01:00:00,1231,630
2016-05-08 02:00:00,1231,471
2016-05-08 03:00:00,1231,335
2016-05-08 04:00:00,1231,282
2016-05-08 05:00:00,1231,126
2016-05-08 06:00:00,1231,113
2016-05-08 07:00:00,1231,198
2016-05-08 08:00:00,1231,252
2016-05-08 09:00:00,1231,380
2016-05-08 10:00:00,1231,559
2016-05-08 11:00:00,1231,653
2016-05-08 12:00:00,1231,732
2016-05-08 13:00:00,1231,719
2016-05-08 14:00:00,1231,712
2016-05-08 15:00:00,1231,699
2016-05-08 16:00:00,1231,669
2016-05-08 17:00:00,1231,787
2016-05-08 18:00:00,1231,863
2016-05-08 19:00:00,1231,851
2016-05-08 20:00:00,1231,812
2016-05-08 21:00:00,1231,794
2016-05-08 22:00:00,1231,510
2016-05-08 23:00:00,1231,421
2016-05-09 00:00:00,1231,260
2016-05-09 01:00:00,1231,142
2016-05-09 02:00:00,1231,75
2016-05-09 03:00:00,1231,63
2016-05-09 04:00:00,1231,64
2016-05-09 05:00:00,1231,130
2016-05-09 06:00:00,1231,317
2016-05-09 07:00:00,1231,518
2016-05-09 08:00:00,1231,717
2016-05-09 09:00:00,1231,870
2016-05-09 10:00:00,1231,750
2016-05-09 11:00:00,1231,875
2016-05-09 12:00:00,1231,879
2016-05-09 13:00:00,1231,861
2016-05-09 14:00:00,1231,965
2016-05-09 15:00:00,1231,891
2016-05-09 16:00:00,1231,827
2016-05-09 17:00:00,1231,866
2016-05-09 18:00:00,1231,1158
2016-05-09 19:00:00,1231,1176
2016-05-09 20:00:00,1231,1164
2016-05-09 21:00:00,1231,953
2016-05-09 22:00:00,1231,948
2016-05-09 23:00:00,1231,608
2016-05-10 00:00:00,1231,374
2016-05-10 01:00:00,1231,226
2016-05-10 02:00:00,1231,127
2016-05-10 03:00:00,1231,82
2016-05-10 04:00:00,1231,79
2016-05-10 05:00:00,1231,125
2016-05-10 06:00:00,1231,322
2016-05-10 07:00:00,1231,557
2016-05-10 08:00:00,1231,761
2016-05-10 09:00:00,1231,993
2016-05-10 10:00:00,1231,763
2016-05-10 11:00:00,1231,913
2016-05-10 12:00:00,1231,1053
2016-05-10 13:00:00,1231,1045
2016-05-10 14:00:00,1231,1078
2016-05-10 15:00:00,1231,981
2016-05-10 16:00:00,1231,710
2016-05-10 17:00:00,1231,767
2016-05-10 18:00:00,1231,1037
2016-05-10 19:00:00,1231,1214
2016-05-10 20:00:00,1231,1190
2016-05-10 21:00:00,1231,902
2016-05-10 22:00:00,1231,720
2016-05-10 23:00:00,1231,757
2016-05-11 00:00:00,1231,491
2016-05-11 01:00:00,1231,227
2016-05-11 02:00:00,1231,162
2016-05-11 03:00:00,1231,85
2016-05-11 04:00:00,1231,87
2016-05-11 05:00:00,1231,123
2016-05-11 06:00:00,1231,334
2016-05-11 07:00:00,1231,592
2016-05-11 08:00:00,1231,827
2016-05-11 09:00:00,1231,934
2016-05-11 10:00:00,1231,938
2016-05-11 11:00:00,1231,993
2016-05-11 12:00:00,1231,985
2016-05-11 13:00:00,1231,1001
