tpep_pickup_datetime,counts
2016-06-01 00:00:00,435
2016-06-01 01:00:00,211
2016-06-01 02:00:00,124
2016-06-01 03:00:00,95
2016-06-01 04:00:00,83
2016-06-01 05:00:00,137
2016-06-01 06:00:00,328
2016-06-01 07:00:00,536
2016-06-01 08:00:00,801
2016-06-01 09:00:00,867
2016-06-01 10:00:00,889
2016-06-01 11:00:00,983
2016-06-01 12:00:00,940
2016-06-01 13:00:00,930
2016-06-01 14:00:00,983
2016-06-01 15:00:00,784
2016-06-01 16:00:00,675
2016-06-01 17:00:00,639
2016-06-01 18:00:00,870
2016-06-01 19:00:00,1089
2016-06-01 20:00:00,1244
2016-06-01 21:00:00,1159
2016-06-01 22:00:00,997
2016-06-01 23:00:00,782
2016-06-02 00:00:00,543
2016-06-02 01:00:00,292
2016-06-02 02:00:00,145
2016-06-02 03:00:00,97
2016-06-02 04:00:00,100
2016-06-02 05:00:00,136
2016-06-02 06:00:00,324
2016-06-02 07:00:00,586
2016-06-02 08:00:00,857
2016-06-02 09:00:00,885
2016-06-02 10:00:00,898
2016-06-02 11:00:00,1011
2016-06-02 12:00:00,1056
2016-06-02 13:00:00,962
2016-06-02 14:00:00,979
2016-06-02 15:00:00,835
2016-06-02 16:00:00,615
2016-06-02 17:00:00,595
2016-06-02 18:00:00,869
2016-06-02 19:00:00,1046
2016-06-02 20:00:00,1110
2016-06-02 21:00:00,986
2016-06-02 22:00:00,896
2016-06-02 23:00:00,1022
2016-06-03 00:00:00,711
2016-06-03 01:00:00,369
2016-06-03 02:00:00,267
2016-06-03 03:00:00,148
2016-06-03 04:00:00,177
2016-06-03 05:00:00,171
2016-06-03 06:00:00,345
2016-06-03 07:00:00,626
2016-06-03 08:00:00,883
2016-06-03 09:00:00,867
2016-06-03 10:00:00,796
2016-06-03 11:00:00,838
2016-06-03 12:00:00,868
2016-06-03 13:00:00,825
2016-06-03 14:00:00,717
2016-06-03 15:00:00,613
2016-06-03 16:00:00,502
2016-06-03 17:00:00,634
2016-06-03 18:00:00,928
2016-06-03 19:00:00,1160
2016-06-03 20:00:00,982
2016-06-03 21:00:00,984
2016-06-03 22:00:00,862
2016-06-03 23:00:00,860
2016-06-04 00:00:00,773
2016-06-04 01:00:00,570
2016-06-04 02:00:00,409
2016-06-04 03:00:00,354
2016-06-04 04:00:00,287
2016-06-04 05:00:00,153
2016-06-04 06:00:00,165
2016-06-04 07:00:00,253
2016-06-04 08:00:00,344
2016-06-04 09:00:00,461
2016-06-04 10:00:00,643
2016-06-04 11:00:00,792
2016-06-04 12:00:00,798
2016-06-04 13:00:00,827
2016-06-04 14:00:00,846
2016-06-04 15:00:00,780
2016-06-04 16:00:00,616
2016-06-04 17:00:00,629
2016-06-04 18:00:00,795
2016-06-04 19:00:00,728
2016-06-04 20:00:00,794
2016-06-04 21:00:00,772
2016-06-04 22:00:00,821
2016-06-04 23:00:00,806
2016-06-05 00:00:00,743
2016-06-05 01:00:00,702
2016-06-05 02:00:00,442
2016-06-05 03:00:00,339
2016-06-05 04:00:00,312
2016-06-05 05:00:00,146
2016-06-05 06:00:00,139
2016-06-05 07:00:00,174
2016-06-05 08:00:00,269
2016-06-05 09:00:00,319
2016-06-05 10:00:00,463
2016-06-05 11:00:00,542
2016-06-05 12:00:00,446
2016-06-05 13:00:00,458
2016-06-05 14:00:00,431
2016-06-05 15:00:00,579
2016-06-05 16:00:00,569
2016-06-05 17:00:00,709
2016-06-05 18:00:00,802
2016-06-05 19:00:00,723
2016-06-05 20:00:00,526
2016-06-05 21:00:00,546
2016-06-05 22:00:00,443
2016-06-05 23:00:00,384
2016-06-06 00:00:00,305
2016-06-06 01:00:00,168
2016-06-06 02:00:00,93
2016-06-06 03:00:00,83
2016-06-06 04:00:00,83
2016-06-06 05:00:00,124
2016-06-06 06:00:00,323
2016-06-06 07:00:00,539
2016-06-06 08:00:00,791
2016-06-06 09:00:00,887
2016-06-06 10:00:00,806
2016-06-06 11:00:00,917
2016-06-06 12:00:00,861
2016-06-06 13:00:00,939
2016-06-06 14:00:00,944
2016-06-06 15:00:00,921
2016-06-06 16:00:00,753
2016-06-06 17:00:00,934
2016-06-06 18:00:00,1137
2016-06-06 19:00:00,1159
2016-06-06 20:00:00,1077
2016-06-06 21:00:00,1136
2016-06-06 22:00:00,887
2016-06-06 23:00:00,621
2016-06-07 00:00:00,498
2016-06-07 01:00:00,257
2016-06-07 02:00:00,124
2016-06-07 03:00:00,79
2016-06-07 04:00:00,82
2016-06-07 05:00:00,129
2016-06-07 06:00:00,298
2016-06-07 07:00:00,613
2016-06-07 08:00:00,886
2016-06-07 09:00:00,847
2016-06-07 10:00:00,904
2016-06-07 11:00:00,990
2016-06-07 12:00:00,965
2016-06-07 13:00:00,1056
2016-06-07 14:00:00,1046
2016-06-07 15:00:00,852
2016-06-07 16:00:00,562
2016-06-07 17:00:00,702
2016-06-07 18:00:00,1047
2016-06-07 19:00:00,1244
2016-06-07 20:00:00,1041
2016-06-07 21:00:00,1183
2016-06-07 22:00:00,750
2016-06-07 23:00:00,761
2016-06-08 00:00:00,665
2016-06-08 01:00:00,525
2016-06-08 02:00:00,140
2016-06-08 03:00:00,84
2016-06-08 04:00:00,80
2016-06-08 05:00:00,123
2016-06-08 06:00:00,302
2016-06-08 07:00:00,653
2016-06-08 08:00:00,934
2016-06-08 09:00:00,1001
2016-06-08 10:00:00,950
2016-06-08 11:00:00,1043
2016-06-08 12:00:00,1075
2016-06-08 13:00:00,1046
2016-06-08 14:00:00,782
2016-06-08 15:00:00,595
2016-06-08 16:00:00,365
2016-06-08 17:00:00,409
2016-06-08 18:00:00,594
2016-06-08 19:00:00,906
2016-06-08 20:00:00,780
2016-06-08 21:00:00,868
2016-06-08 22:00:00,632
2016-06-08 23:00:00,798
2016-06-09 00:00:00,796
2016-06-09 01:00:00,349
2016-06-09 02:00:00,182
2016-06-09 03:00:00,110
2016-06-09 04:00:00,111
2016-06-09 05:00:00,151
2016-06-09 06:00:00,315
2016-06-09 07:00:00,642
2016-06-09 08:00:00,905
2016-06-09 09:00:00,968
2016-06-09 10:00:00,961
2016-06-09 11:00:00,1071
2016-06-09 12:00:00,1153
2016-06-09 13:00:00,1043
2016-06-09 14:00:00,1029
2016-06-09 15:00:00,757
2016-06-09 16:00:00,511
2016-06-09 17:00:00,489
2016-06-09 18:00:00,715
2016-06-09 19:00:00,833
2016-06-09 20:00:00,817
2016-06-09 21:00:00,870
2016-06-09 22:00:00,614
2016-06-09 23:00:00,855
2016-06-10 00:00:00,720
2016-06-10 01:00:00,460
2016-06-10 02:00:00,297
2016-06-10 03:00:00,213
2016-06-10 04:00:00,172
2016-06-10 05:00:00,158
2016-06-10 06:00:00,314
2016-06-10 07:00:00,519
2016-06-10 08:00:00,710
2016-06-10 09:00:00,801
2016-06-10 10:00:00,852
2016-06-10 11:00:00,916
2016-06-10 12:00:00,892
2016-06-10 13:00:00,840
2016-06-10 14:00:00,880
2016-06-10 15:00:00,725
2016-06-10 16:00:00,561
2016-06-10 17:00:00,606
2016-06-10 18:00:00,898
2016-06-10 19:00:00,1069
2016-06-10 20:00:00,903
2016-06-10 21:00:00,1031
2016-06-10 22:00:00,967
2016-06-10 23:00:00,919
2016-06-11 00:00:00,875
2016-06-11 01:00:00,652
2016-06-11 02:00:00,420
2016-06-11 03:00:00,382
2016-06-11 04:00:00,292
2016-06-11 05:00:00,142
2016-06-11 06:00:00,176
2016-06-11 07:00:00,258
2016-06-11 08:00:00,260
2016-06-11 09:00:00,478
2016-06-11 10:00:00,587
2016-06-11 11:00:00,659
2016-06-11 12:00:00,776
2016-06-11 13:00:00,771
2016-06-11 14:00:00,778
2016-06-11 15:00:00,754
2016-06-11 16:00:00,729
2016-06-11 17:00:00,832
2016-06-11 18:00:00,880
2016-06-11 19:00:00,793
2016-06-11 20:00:00,687
2016-06-11 21:00:00,881
2016-06-11 22:00:00,916
2016-06-11 23:00:00,951
2016-06-12 00:00:00,798
2016-06-12 01:00:00,593
2016-06-12 02:00:00,413
2016-06-12 03:00:00,296
2016-06-12 04:00:00,274
2016-06-12 05:00:00,150
2016-06-12 06:00:00,116
2016-06-12 07:00:00,155
2016-06-12 08:00:00,227
2016-06-12 09:00:00,377
2016-06-12 10:00:00,472
2016-06-12 11:00:00,557
2016-06-12 12:00:00,596
2016-06-12 13:00:00,620
2016-06-12 14:00:00,611
2016-06-12 15:00:00,563
2016-06-12 16:00:00,626
2016-06-12 17:00:00,711
2016-06-12 18:00:00,763
2016-06-12 19:00:00,741
2016-06-12 20:00:00,689
2016-06-12 21:00:00,733
2016-06-12 22:00:00,511
2016-06-12 23:00:00,427
2016-06-13 00:00:00,284
2016-06-13 01:00:00,155
2016-06-13 02:00:00,98
2016-06-13 03:00:00,68
2016-06-13 04:00:00,78
2016-06-13 05:00:00,116
2016-06-13 06:00:00,309
2016-06-13 07:00:00,542
2016-06-13 08:00:00,734
2016-06-13 09:00:00,909
2016-06-13 10:00:00,802
2016-06-13 11:00:00,782
2016-06-13 12:00:00,885
2016-06-13 13:00:00,946
2016-06-13 14:00:00,902
2016-06-13 15:00:00,823
2016-06-13 16:00:00,799
2016-06-13 17:00:00,929
2016-06-13 18:00:00,1123
2016-06-13 19:00:00,1154
2016-06-13 20:00:00,998
2016-06-13 21:00:00,1077
2016-06-13 22:00:00,930
2016-06-13 23:00:00,695
2016-06-14 00:00:00,447
2016-06-14 01:00:00,212
2016-06-14 02:00:00,128
2016-06-14 03:00:00,77
2016-06-14 04:00:00,78
2016-06-14 05:00:00,123
2016-06-14 06:00:00,370
2016-06-14 07:00:00,560
2016-06-14 08:00:00,808
2016-06-14 09:00:00,907
2016-06-14 10:00:00,910
2016-06-14 11:00:00,983
2016-06-14 12:00:00,1014
2016-06-14 13:00:00,1017
2016-06-14 14:00:00,1069
2016-06-14 15:00:00,864
2016-06-14 16:00:00,649
2016-06-14 17:00:00,743
2016-06-14 18:00:00,1007
2016-06-14 19:00:00,1224
2016-06-14 20:00:00,1039
2016-06-14 21:00:00,987
2016-06-14 22:00:00,906
2016-06-14 23:00:00,781
2016-06-15 00:00:00,520
2016-06-15 01:00:00,279
2016-06-15 02:00:00,126
2016-06-15 03:00:00,87
2016-06-15 04:00:00,92
2016-06-15 05:00:00,120
2016-06-15 06:00:00,303
2016-06-15 07:00:00,614
2016-06-15 08:00:00,877
2016-06-15 09:00:00,1057
2016-06-15 10:00:00,989
2016-06-15 11:00:00,1042
2016-06-15 12:00:00,1021
2016-06-15 13:00:00,1048
2016-06-15 14:00:00,1046
2016-06-15 15:00:00,870
2016-06-15 16:00:00,607
2016-06-15 17:00:00,721
2016-06-15 18:00:00,887
2016-06-15 19:00:00,1130
2016-06-15 20:00:00,1017
2016-06-15 21:00:00,1115
2016-06-15 22:00:00,795
2016-06-15 23:00:00,861
2016-06-16 00:00:00,596
2016-06-16 01:00:00,299
2016-06-16 02:00:00,172
2016-06-16 03:00:00,134
2016-06-16 04:00:00,132
2016-06-16 05:00:00,159
2016-06-16 06:00:00,479
2016-06-16 07:00:00,762
2016-06-16 08:00:00,953
2016-06-16 09:00:00,975
2016-06-16 10:00:00,945
2016-06-16 11:00:00,1050
2016-06-16 12:00:00,1044
2016-06-16 13:00:00,1096
2016-06-16 14:00:00,1023
2016-06-16 15:00:00,768
2016-06-16 16:00:00,618
2016-06-16 17:00:00,590
2016-06-16 18:00:00,764
2016-06-16 19:00:00,933
2016-06-16 20:00:00,991
2016-06-16 21:00:00,1031
2016-06-16 22:00:00,795
2016-06-16 23:00:00,1055
2016-06-17 00:00:00,823
2016-06-17 01:00:00,459
2016-06-17 02:00:00,232
2016-06-17 03:00:00,174
2016-06-17 04:00:00,166
2016-06-17 05:00:00,194
2016-06-17 06:00:00,333
2016-06-17 07:00:00,486
2016-06-17 08:00:00,698
2016-06-17 09:00:00,864
2016-06-17 10:00:00,880
2016-06-17 11:00:00,864
2016-06-17 12:00:00,896
2016-06-17 13:00:00,774
2016-06-17 14:00:00,802
2016-06-17 15:00:00,661
2016-06-17 16:00:00,566
2016-06-17 17:00:00,604
2016-06-17 18:00:00,921
2016-06-17 19:00:00,1127
2016-06-17 20:00:00,987
2016-06-17 21:00:00,999
2016-06-17 22:00:00,1039
2016-06-17 23:00:00,1000
2016-06-18 00:00:00,882
2016-06-18 01:00:00,668
2016-06-18 02:00:00,418
2016-06-18 03:00:00,375
2016-06-18 04:00:00,262
2016-06-18 05:00:00,156
2016-06-18 06:00:00,146
2016-06-18 07:00:00,182
2016-06-18 08:00:00,312
2016-06-18 09:00:00,474
2016-06-18 10:00:00,604
2016-06-18 11:00:00,608
2016-06-18 12:00:00,700
2016-06-18 13:00:00,728
2016-06-18 14:00:00,738
2016-06-18 15:00:00,738
2016-06-18 16:00:00,705
2016-06-18 17:00:00,909
2016-06-18 18:00:00,907
2016-06-18 19:00:00,848
2016-06-18 20:00:00,736
2016-06-18 21:00:00,729
2016-06-18 22:00:00,773
2016-06-18 23:00:00,945
2016-06-19 00:00:00,894
2016-06-19 01:00:00,662
2016-06-19 02:00:00,460
2016-06-19 03:00:00,350
2016-06-19 04:00:00,293
2016-06-19 05:00:00,168
2016-06-19 06:00:00,141
2016-06-19 07:00:00,163
2016-06-19 08:00:00,230
2016-06-19 09:00:00,362
2016-06-19 10:00:00,505
2016-06-19 11:00:00,633
2016-06-19 12:00:00,749
2016-06-19 13:00:00,705
2016-06-19 14:00:00,685
2016-06-19 15:00:00,685
2016-06-19 16:00:00,721
2016-06-19 17:00:00,804
2016-06-19 18:00:00,861
2016-06-19 19:00:00,808
2016-06-19 20:00:00,733
2016-06-19 21:00:00,957
2016-06-19 22:00:00,615
2016-06-19 23:00:00,570
2016-06-20 00:00:00,395
2016-06-20 01:00:00,159
2016-06-20 02:00:00,103
2016-06-20 03:00:00,79
2016-06-20 04:00:00,80
2016-06-20 05:00:00,113
2016-06-20 06:00:00,309
2016-06-20 07:00:00,514
2016-06-20 08:00:00,752
2016-06-20 09:00:00,832
2016-06-20 10:00:00,779
2016-06-20 11:00:00,838
2016-06-20 12:00:00,1000
2016-06-20 13:00:00,929
2016-06-20 14:00:00,993
2016-06-20 15:00:00,904
2016-06-20 16:00:00,846
2016-06-20 17:00:00,988
2016-06-20 18:00:00,1128
2016-06-20 19:00:00,1197
2016-06-20 20:00:00,1079
2016-06-20 21:00:00,1081
2016-06-20 22:00:00,928
2016-06-20 23:00:00,770
2016-06-21 00:00:00,629
2016-06-21 01:00:00,255
2016-06-21 02:00:00,143
2016-06-21 03:00:00,83
2016-06-21 04:00:00,89
2016-06-21 05:00:00,102
2016-06-21 06:00:00,375
2016-06-21 07:00:00,575
2016-06-21 08:00:00,744
2016-06-21 09:00:00,917
2016-06-21 10:00:00,971
2016-06-21 11:00:00,1030
2016-06-21 12:00:00,1032
2016-06-21 13:00:00,1069
2016-06-21 14:00:00,1089
2016-06-21 15:00:00,976
2016-06-21 16:00:00,679
2016-06-21 17:00:00,774
2016-06-21 18:00:00,1093
2016-06-21 19:00:00,1299
2016-06-21 20:00:00,1161
2016-06-21 21:00:00,1109
2016-06-21 22:00:00,1006
2016-06-21 23:00:00,1029
2016-06-22 00:00:00,512
2016-06-22 01:00:00,307
2016-06-22 02:00:00,163
2016-06-22 03:00:00,91
2016-06-22 04:00:00,90
2016-06-22 05:00:00,121
2016-06-22 06:00:00,317
2016-06-22 07:00:00,574
2016-06-22 08:00:00,813
2016-06-22 09:00:00,946
2016-06-22 10:00:00,904
2016-06-22 11:00:00,1049
2016-06-22 12:00:00,1126
2016-06-22 13:00:00,1139
2016-06-22 14:00:00,1082
2016-06-22 15:00:00,918
2016-06-22 16:00:00,681
2016-06-22 17:00:00,664
2016-06-22 18:00:00,701
2016-06-22 19:00:00,871
2016-06-22 20:00:00,790
2016-06-22 21:00:00,1043
2016-06-22 22:00:00,985
2016-06-22 23:00:00,891
2016-06-23 00:00:00,651
2016-06-23 01:00:00,322
2016-06-23 02:00:00,165
2016-06-23 03:00:00,124
2016-06-23 04:00:00,97
2016-06-23 05:00:00,137
2016-06-23 06:00:00,348
2016-06-23 07:00:00,632
2016-06-23 08:00:00,869
2016-06-23 09:00:00,999
2016-06-23 10:00:00,1031
2016-06-23 11:00:00,1022
2016-06-23 12:00:00,1141
2016-06-23 13:00:00,1072
2016-06-23 14:00:00,1085
2016-06-23 15:00:00,900
2016-06-23 16:00:00,652
2016-06-23 17:00:00,710
2016-06-23 18:00:00,926
2016-06-23 19:00:00,1253
2016-06-23 20:00:00,1027
2016-06-23 21:00:00,949
2016-06-23 22:00:00,893
2016-06-23 23:00:00,974
2016-06-24 00:00:00,831
2016-06-24 01:00:00,474
2016-06-24 02:00:00,264
2016-06-24 03:00:00,179
2016-06-24 04:00:00,177
2016-06-24 05:00:00,183
2016-06-24 06:00:00,306
2016-06-24 07:00:00,489
2016-06-24 08:00:00,726
2016-06-24 09:00:00,827
2016-06-24 10:00:00,834
2016-06-24 11:00:00,916
2016-06-24 12:00:00,906
2016-06-24 13:00:00,783
2016-06-24 14:00:00,756
2016-06-24 15:00:00,699
2016-06-24 16:00:00,592
2016-06-24 17:00:00,612
2016-06-24 18:00:00,915
2016-06-24 19:00:00,1140
2016-06-24 20:00:00,975
2016-06-24 21:00:00,987
2016-06-24 22:00:00,1051
2016-06-24 23:00:00,1026
2016-06-25 00:00:00,907
2016-06-25 01:00:00,605
2016-06-25 02:00:00,433
2016-06-25 03:00:00,344
2016-06-25 04:00:00,259
2016-06-25 05:00:00,165
2016-06-25 06:00:00,170
2016-06-25 07:00:00,232
2016-06-25 08:00:00,327
2016-06-25 09:00:00,520
2016-06-25 10:00:00,615
2016-06-25 11:00:00,789
2016-06-25 12:00:00,859
2016-06-25 13:00:00,846
2016-06-25 14:00:00,847
2016-06-25 15:00:00,725
2016-06-25 16:00:00,712
2016-06-25 17:00:00,713
2016-06-25 18:00:00,875
2016-06-25 19:00:00,973
2016-06-25 20:00:00,741
2016-06-25 21:00:00,714
2016-06-25 22:00:00,876
2016-06-25 23:00:00,977
2016-06-26 00:00:00,926
2016-06-26 01:00:00,653
2016-06-26 02:00:00,490
2016-06-26 03:00:00,333
2016-06-26 04:00:00,287
2016-06-26 05:00:00,179
2016-06-26 06:00:00,152
2016-06-26 07:00:00,197
2016-06-26 08:00:00,334
2016-06-26 09:00:00,476
2016-06-26 10:00:00,551
2016-06-26 11:00:00,548
2016-06-26 12:00:00,584
2016-06-26 13:00:00,518
2016-06-26 14:00:00,433
2016-06-26 15:00:00,391
2016-06-26 16:00:00,332
2016-06-26 17:00:00,344
2016-06-26 18:00:00,366
2016-06-26 19:00:00,366
2016-06-26 20:00:00,520
2016-06-26 21:00:00,655
2016-06-26 22:00:00,652
2016-06-26 23:00:00,613
2016-06-27 00:00:00,505
2016-06-27 01:00:00,302
2016-06-27 02:00:00,190
2016-06-27 03:00:00,97
2016-06-27 04:00:00,79
2016-06-27 05:00:00,155
2016-06-27 06:00:00,306
2016-06-27 07:00:00,484
2016-06-27 08:00:00,753
2016-06-27 09:00:00,927
2016-06-27 10:00:00,885
2016-06-27 11:00:00,924
2016-06-27 12:00:00,961
2016-06-27 13:00:00,1025
2016-06-27 14:00:00,1001
2016-06-27 15:00:00,947
2016-06-27 16:00:00,806
2016-06-27 17:00:00,982
2016-06-27 18:00:00,1090
2016-06-27 19:00:00,1279
2016-06-27 20:00:00,922
2016-06-27 21:00:00,973
2016-06-27 22:00:00,864
2016-06-27 23:00:00,857
2016-06-28 00:00:00,499
2016-06-28 01:00:00,199
2016-06-28 02:00:00,113
2016-06-28 03:00:00,90
2016-06-28 04:00:00,84
2016-06-28 05:00:00,108
2016-06-28 06:00:00,328
2016-06-28 07:00:00,523
2016-06-28 08:00:00,829
2016-06-28 09:00:00,1001
2016-06-28 10:00:00,925
2016-06-28 11:00:00,1028
2016-06-28 12:00:00,986
2016-06-28 13:00:00,990
2016-06-28 14:00:00,1007
2016-06-28 15:00:00,897
2016-06-28 16:00:00,688
2016-06-28 17:00:00,763
2016-06-28 18:00:00,953
2016-06-28 19:00:00,1225
2016-06-28 20:00:00,1055
2016-06-28 21:00:00,1043
2016-06-28 22:00:00,905
2016-06-28 23:00:00,697
2016-06-29 00:00:00,463
2016-06-29 01:00:00,227
2016-06-29 02:00:00,135
2016-06-29 03:00:00,108
2016-06-29 04:00:00,104
2016-06-29 05:00:00,135
2016-06-29 06:00:00,269
2016-06-29 07:00:00,554
2016-06-29 08:00:00,854
2016-06-29 09:00:00,1000
2016-06-29 10:00:00,970
2016-06-29 11:00:00,996
2016-06-29 12:00:00,1111
2016-06-29 13:00:00,1047
2016-06-29 14:00:00,979
2016-06-29 15:00:00,864
2016-06-29 16:00:00,647
2016-06-29 17:00:00,631
2016-06-29 18:00:00,817
2016-06-29 19:00:00,1138
2016-06-29 20:00:00,1095
2016-06-29 21:00:00,1138
2016-06-29 22:00:00,1064
2016-06-29 23:00:00,964
2016-06-30 00:00:00,654
2016-06-30 01:00:00,340
2016-06-30 02:00:00,167
2016-06-30 03:00:00,98
2016-06-30 04:00:00,124
2016-06-30 05:00:00,133
2016-06-30 06:00:00,308
2016-06-30 07:00:00,493
2016-06-30 08:00:00,787
2016-06-30 09:00:00,945
2016-06-30 10:00:00,864
2016-06-30 11:00:00,1003
2016-06-30 12:00:00,1008
2016-06-30 13:00:00,973
2016-06-30 14:00:00,923
2016-06-30 15:00:00,750
2016-06-30 16:00:00,540
2016-06-30 17:00:00,615
2016-06-30 18:00:00,655
2016-06-30 19:00:00,968
2016-06-30 20:00:00,924
2016-06-30 21:00:00,1057
2016-06-30 22:00:00,903
2016-06-30 23:00:00,899
